question_id,resolution,forecast_id,stage,condition,model,info_label,position,probability
37003,1,37003-gpt5-full,independent,,gpt5,full,,95
37003,1,37003-gpt5-info1,independent,,gpt5,info1,,68
37003,1,37003-gpt5-none,independent,,gpt5,none,,78
37003,1,37003-pro-full,independent,,pro,full,,98
37003,1,37003-pro-info2,independent,,pro,info2,,97
37003,1,37003-pro-none,independent,,pro,none,,55
37003,1,37003-sonnet-full-1,independent,,sonnet,full,,95
37003,1,37003-sonnet-full-2,independent,,sonnet,full,,94
37003,1,37003-sonnet-full-3,independent,,sonnet,full,,96
37003,1,37003-sonnet-full,independent,,sonnet,full,,92
37003,1,37003-sonnet-info1-1,independent,,sonnet,info1,,82
37003,1,37003-sonnet-info2-2,independent,,sonnet,info2,,93
37003,1,37003-sonnet-info3-3,independent,,sonnet,info3,,72
37003,1,37003-sonnet-info3,independent,,sonnet,info3,,78
37003,1,37003-sonnet-none-1,independent,,sonnet,none,,75
37003,1,37003-sonnet-none-2,independent,,sonnet,none,,70
37003,1,37003-sonnet-none-3,independent,,sonnet,none,,72
37003,1,37003-sonnet-none,independent,,sonnet,none,,78
37004,0,37004-gpt5-full,independent,,gpt5,full,,22
37004,0,37004-gpt5-info3,independent,,gpt5,info3,,94
37004,0,37004-gpt5-none,independent,,gpt5,none,,92
37004,0,37004-pro-full-1,independent,,pro,full,,15
37004,0,37004-pro-full-2,independent,,pro,full,,12
37004,0,37004-pro-full-3,independent,,pro,full,,15
37004,0,37004-pro-full,independent,,pro,full,,15
37004,0,37004-pro-info1-1,independent,,pro,info1,,20
37004,0,37004-pro-info2-2,independent,,pro,info2,,70
37004,0,37004-pro-info2,independent,,pro,info2,,35
37004,0,37004-pro-info3-3,independent,,pro,info3,,68
37004,0,37004-pro-none-1,independent,,pro,none,,85
37004,0,37004-pro-none-2,independent,,pro,none,,85
37004,0,37004-pro-none-3,independent,,pro,none,,88
37004,0,37004-pro-none,independent,,pro,none,,85
37004,0,37004-sonnet-full,independent,,sonnet,full,,23
37004,0,37004-sonnet-info1,independent,,sonnet,info1,,30
37004,0,37004-sonnet-none,independent,,sonnet,none,,72
37005,0,37005-gpt5-full-1,independent,,gpt5,full,,78
37005,0,37005-gpt5-full-2,independent,,gpt5,full,,17
37005,0,37005-gpt5-full-3,independent,,gpt5,full,,6
37005,0,37005-gpt5-full,independent,,gpt5,full,,72
37005,0,37005-gpt5-info1-1,independent,,gpt5,info1,,12
37005,0,37005-gpt5-info2-2,independent,,gpt5,info2,,2
37005,0,37005-gpt5-info2,independent,,gpt5,info2,,2
37005,0,37005-gpt5-info3-3,independent,,gpt5,info3,,3
37005,0,37005-gpt5-none-1,independent,,gpt5,none,,3
37005,0,37005-gpt5-none-2,independent,,gpt5,none,,2
37005,0,37005-gpt5-none-3,independent,,gpt5,none,,2
37005,0,37005-gpt5-none,independent,,gpt5,none,,2
37005,0,37005-pro-full,independent,,pro,full,,85
37005,0,37005-pro-info1,independent,,pro,info1,,80
37005,0,37005-pro-none,independent,,pro,none,,8
37005,0,37005-sonnet-full,independent,,sonnet,full,,78
37005,0,37005-sonnet-info3,independent,,sonnet,info3,,12
37005,0,37005-sonnet-none,independent,,sonnet,none,,12
37006,1,37006-gpt5-full,independent,,gpt5,full,,75
37006,1,37006-gpt5-info1,independent,,gpt5,info1,,65
37006,1,37006-gpt5-none,independent,,gpt5,none,,65
37006,1,37006-pro-full,independent,,pro,full,,85
37006,1,37006-pro-info3,independent,,pro,info3,,85
37006,1,37006-pro-none,independent,,pro,none,,85
37006,1,37006-sonnet-full-1,independent,,sonnet,full,,82
37006,1,37006-sonnet-full-2,independent,,sonnet,full,,78
37006,1,37006-sonnet-full-3,independent,,sonnet,full,,82
37006,1,37006-sonnet-full,independent,,sonnet,full,,78
37006,1,37006-sonnet-info1-1,independent,,sonnet,info1,,82
37006,1,37006-sonnet-info2-2,independent,,sonnet,info2,,68
37006,1,37006-sonnet-info2,independent,,sonnet,info2,,78
37006,1,37006-sonnet-info3-3,independent,,sonnet,info3,,78
37006,1,37006-sonnet-none-1,independent,,sonnet,none,,78
37006,1,37006-sonnet-none-2,independent,,sonnet,none,,77
37006,1,37006-sonnet-none-3,independent,,sonnet,none,,72
37006,1,37006-sonnet-none,independent,,sonnet,none,,82
37007,0,37007-gpt5-full,independent,,gpt5,full,,58
37007,0,37007-gpt5-info2,independent,,gpt5,info2,,52
37007,0,37007-gpt5-none,independent,,gpt5,none,,53
37007,0,37007-pro-full-1,independent,,pro,full,,60
37007,0,37007-pro-full-2,independent,,pro,full,,58
37007,0,37007-pro-full-3,independent,,pro,full,,55
37007,0,37007-pro-full,independent,,pro,full,,55
37007,0,37007-pro-info1-1,independent,,pro,info1,,62
37007,0,37007-pro-info2-2,independent,,pro,info2,,40
37007,0,37007-pro-info3-3,independent,,pro,info3,,58
37007,0,37007-pro-info3,independent,,pro,info3,,58
37007,0,37007-pro-none-1,independent,,pro,none,,62
37007,0,37007-pro-none-2,independent,,pro,none,,58
37007,0,37007-pro-none-3,independent,,pro,none,,62
37007,0,37007-pro-none,independent,,pro,none,,62
37007,0,37007-sonnet-full,independent,,sonnet,full,,55
37007,0,37007-sonnet-info1,independent,,sonnet,info1,,62
37007,0,37007-sonnet-none,independent,,sonnet,none,,57
37008,0,37008-gpt5-full-1,independent,,gpt5,full,,30
37008,0,37008-gpt5-full-2,independent,,gpt5,full,,38
37008,0,37008-gpt5-full-3,independent,,gpt5,full,,30
37008,0,37008-gpt5-full,independent,,gpt5,full,,35
37008,0,37008-gpt5-info1-1,independent,,gpt5,info1,,40
37008,0,37008-gpt5-info1,independent,,gpt5,info1,,58
37008,0,37008-gpt5-info2-2,independent,,gpt5,info2,,30
37008,0,37008-gpt5-info3-3,independent,,gpt5,info3,,35
37008,0,37008-gpt5-none-1,independent,,gpt5,none,,35
37008,0,37008-gpt5-none-2,independent,,gpt5,none,,60
37008,0,37008-gpt5-none-3,independent,,gpt5,none,,40
37008,0,37008-gpt5-none,independent,,gpt5,none,,30
37008,0,37008-pro-full,independent,,pro,full,,15
37008,0,37008-pro-info3,independent,,pro,info3,,25
37008,0,37008-pro-none,independent,,pro,none,,35
37008,0,37008-sonnet-full,independent,,sonnet,full,,22
37008,0,37008-sonnet-info2,independent,,sonnet,info2,,32
37008,0,37008-sonnet-none,independent,,sonnet,none,,25
37009,1,37009-gpt5-full,independent,,gpt5,full,,77
37009,1,37009-gpt5-info3,independent,,gpt5,info3,,14
37009,1,37009-gpt5-none,independent,,gpt5,none,,18
37009,1,37009-pro-full,independent,,pro,full,,90
37009,1,37009-pro-info2,independent,,pro,info2,,90
37009,1,37009-pro-none,independent,,pro,none,,75
37009,1,37009-sonnet-full-1,independent,,sonnet,full,,60
37009,1,37009-sonnet-full-2,independent,,sonnet,full,,72
37009,1,37009-sonnet-full-3,independent,,sonnet,full,,72
37009,1,37009-sonnet-full,independent,,sonnet,full,,65
37009,1,37009-sonnet-info1-1,independent,,sonnet,info1,,70
37009,1,37009-sonnet-info1,independent,,sonnet,info1,,70
37009,1,37009-sonnet-info2-2,independent,,sonnet,info2,,72
37009,1,37009-sonnet-info3-3,independent,,sonnet,info3,,8
37009,1,37009-sonnet-none-1,independent,,sonnet,none,,20
37009,1,37009-sonnet-none-2,independent,,sonnet,none,,15
37009,1,37009-sonnet-none-3,independent,,sonnet,none,,18
37009,1,37009-sonnet-none,independent,,sonnet,none,,18
37011,1,37011-gpt5-full,independent,,gpt5,full,,1
37011,1,37011-gpt5-info3,independent,,gpt5,info3,,3
37011,1,37011-gpt5-none,independent,,gpt5,none,,1
37011,1,37011-pro-full-1,independent,,pro,full,,1
37011,1,37011-pro-full-2,independent,,pro,full,,2
37011,1,37011-pro-full-3,independent,,pro,full,,2
37011,1,37011-pro-full,independent,,pro,full,,3
37011,1,37011-pro-info1-1,independent,,pro,info1,,1
37011,1,37011-pro-info2-2,independent,,pro,info2,,2
37011,1,37011-pro-info2,independent,,pro,info2,,2
37011,1,37011-pro-info3-3,independent,,pro,info3,,8
37011,1,37011-pro-none-1,independent,,pro,none,,5
37011,1,37011-pro-none-2,independent,,pro,none,,5
37011,1,37011-pro-none-3,independent,,pro,none,,2
37011,1,37011-pro-none,independent,,pro,none,,3
37011,1,37011-sonnet-full,independent,,sonnet,full,,1
37011,1,37011-sonnet-info1,independent,,sonnet,info1,,2
37011,1,37011-sonnet-none,independent,,sonnet,none,,3
37012,0,37012-gpt5-full-1,independent,,gpt5,full,,45
37012,0,37012-gpt5-full-2,independent,,gpt5,full,,37
37012,0,37012-gpt5-full-3,independent,,gpt5,full,,40
37012,0,37012-gpt5-full,independent,,gpt5,full,,33
37012,0,37012-gpt5-info1-1,independent,,gpt5,info1,,62
37012,0,37012-gpt5-info2-2,independent,,gpt5,info2,,55
37012,0,37012-gpt5-info2,independent,,gpt5,info2,,54
37012,0,37012-gpt5-info3-3,independent,,gpt5,info3,,58
37012,0,37012-gpt5-none-1,independent,,gpt5,none,,40
37012,0,37012-gpt5-none-2,independent,,gpt5,none,,58
37012,0,37012-gpt5-none-3,independent,,gpt5,none,,60
37012,0,37012-gpt5-none,independent,,gpt5,none,,37
37012,0,37012-pro-full,independent,,pro,full,,35
37012,0,37012-pro-info1,independent,,pro,info1,,60
37012,0,37012-pro-none,independent,,pro,none,,80
37012,0,37012-sonnet-full,independent,,sonnet,full,,35
37012,0,37012-sonnet-info3,independent,,sonnet,info3,,28
37012,0,37012-sonnet-none,independent,,sonnet,none,,30
37013,0,37013-gpt5-full,independent,,gpt5,full,,28
37013,0,37013-gpt5-info1,independent,,gpt5,info1,,15
37013,0,37013-gpt5-none,independent,,gpt5,none,,54
37013,0,37013-pro-full,independent,,pro,full,,30
37013,0,37013-pro-info3,independent,,pro,info3,,60
37013,0,37013-pro-none,independent,,pro,none,,25
37013,0,37013-sonnet-full-1,independent,,sonnet,full,,15
37013,0,37013-sonnet-full-2,independent,,sonnet,full,,10
37013,0,37013-sonnet-full-3,independent,,sonnet,full,,10
37013,0,37013-sonnet-full,independent,,sonnet,full,,18
37013,0,37013-sonnet-info1-1,independent,,sonnet,info1,,3
37013,0,37013-sonnet-info2-2,independent,,sonnet,info2,,68
37013,0,37013-sonnet-info2,independent,,sonnet,info2,,40
37013,0,37013-sonnet-info3-3,independent,,sonnet,info3,,72
37013,0,37013-sonnet-none-1,independent,,sonnet,none,,70
37013,0,37013-sonnet-none-2,independent,,sonnet,none,,72
37013,0,37013-sonnet-none-3,independent,,sonnet,none,,72
37013,0,37013-sonnet-none,independent,,sonnet,none,,70
37014,1,37014-gpt5-full,independent,,gpt5,full,,9
37014,1,37014-gpt5-info2,independent,,gpt5,info2,,15
37014,1,37014-gpt5-none,independent,,gpt5,none,,7
37014,1,37014-pro-full-1,independent,,pro,full,,20
37014,1,37014-pro-full-2,independent,,pro,full,,15
37014,1,37014-pro-full-3,independent,,pro,full,,25
37014,1,37014-pro-full,independent,,pro,full,,25
37014,1,37014-pro-info1-1,independent,,pro,info1,,35
37014,1,37014-pro-info1,independent,,pro,info1,,45
37014,1,37014-pro-info2-2,independent,,pro,info2,,55
37014,1,37014-pro-info3-3,independent,,pro,info3,,15
37014,1,37014-pro-none-1,independent,,pro,none,,60
37014,1,37014-pro-none-2,independent,,pro,none,,65
37014,1,37014-pro-none-3,independent,,pro,none,,45
37014,1,37014-pro-none,independent,,pro,none,,70
37014,1,37014-sonnet-full,independent,,sonnet,full,,18
