question_id,resolution,condition,model,info_label,position,independent_forecast_id,deliberative_forecast_id,independent_prob,deliberative_prob
37003,1,diverse_full,gpt5,full,3,37003-gpt5-full,37003-diverse_full-gpt5-3,95,95
37003,1,diverse_full,pro,full,1,37003-pro-full,37003-diverse_full-pro-1,98,96
37003,1,diverse_full,sonnet,full,2,37003-sonnet-full,37003-diverse_full-sonnet-2,92,94
37003,1,diverse_info,gpt5,info1,3,37003-gpt5-info1,37003-diverse_info-gpt5-3,68,82
37003,1,diverse_info,pro,info2,2,37003-pro-info2,37003-diverse_info-pro-2,97,97
37003,1,diverse_info,sonnet,info3,1,37003-sonnet-info3,37003-diverse_info-sonnet-1,78,86
37003,1,diverse_none,gpt5,none,3,37003-gpt5-none,37003-diverse_none-gpt5-3,78,62
37003,1,diverse_none,pro,none,1,37003-pro-none,37003-diverse_none-pro-1,55,65
37003,1,diverse_none,sonnet,none,2,37003-sonnet-none,37003-diverse_none-sonnet-2,78,67
37003,1,homo_full,sonnet,full,1,37003-sonnet-full-1,37003-homo_full-sonnet-1,95,95
37003,1,homo_full,sonnet,full,2,37003-sonnet-full-2,37003-homo_full-sonnet-2,94,95
37003,1,homo_full,sonnet,full,3,37003-sonnet-full-3,37003-homo_full-sonnet-3,96,96
37003,1,homo_info,sonnet,info1,1,37003-sonnet-info1-1,37003-homo_info-sonnet-1,82,85
37003,1,homo_info,sonnet,info2,2,37003-sonnet-info2-2,37003-homo_info-sonnet-2,93,94
37003,1,homo_info,sonnet,info3,3,37003-sonnet-info3-3,37003-homo_info-sonnet-3,72,87
37003,1,homo_none,sonnet,none,1,37003-sonnet-none-1,37003-homo_none-sonnet-1,75,73
37003,1,homo_none,sonnet,none,2,37003-sonnet-none-2,37003-homo_none-sonnet-2,70,72
37003,1,homo_none,sonnet,none,3,37003-sonnet-none-3,37003-homo_none-sonnet-3,72,73
37004,0,diverse_full,gpt5,full,3,37004-gpt5-full,37004-diverse_full-gpt5-3,22,20
37004,0,diverse_full,pro,full,1,37004-pro-full,37004-diverse_full-pro-1,15,20
37004,0,diverse_full,sonnet,full,2,37004-sonnet-full,37004-diverse_full-sonnet-2,23,20
37004,0,diverse_info,gpt5,info3,3,37004-gpt5-info3,37004-diverse_info-gpt5-3,94,28
37004,0,diverse_info,pro,info2,1,37004-pro-info2,37004-diverse_info-pro-1,35,30
37004,0,diverse_info,sonnet,info1,2,37004-sonnet-info1,37004-diverse_info-sonnet-2,30,40
37004,0,diverse_none,gpt5,none,3,37004-gpt5-none,37004-diverse_none-gpt5-3,92,88
37004,0,diverse_none,pro,none,1,37004-pro-none,37004-diverse_none-pro-1,85,91
37004,0,diverse_none,sonnet,none,2,37004-sonnet-none,37004-diverse_none-sonnet-2,72,82
37004,0,homo_full,pro,full,1,37004-pro-full-1,37004-homo_full-pro-1,15,15
37004,0,homo_full,pro,full,2,37004-pro-full-2,37004-homo_full-pro-2,12,15
37004,0,homo_full,pro,full,3,37004-pro-full-3,37004-homo_full-pro-3,15,13
37004,0,homo_info,pro,info1,1,37004-pro-info1-1,37004-homo_info-pro-1,20,55
37004,0,homo_info,pro,info2,2,37004-pro-info2-2,37004-homo_info-pro-2,70,35
37004,0,homo_info,pro,info3,3,37004-pro-info3-3,37004-homo_info-pro-3,68,22
37004,0,homo_none,pro,none,1,37004-pro-none-1,37004-homo_none-pro-1,85,87
37004,0,homo_none,pro,none,2,37004-pro-none-2,37004-homo_none-pro-2,85,85
37004,0,homo_none,pro,none,3,37004-pro-none-3,37004-homo_none-pro-3,88,86
37005,0,diverse_full,gpt5,full,3,37005-gpt5-full,37005-diverse_full-gpt5-3,72,76
37005,0,diverse_full,pro,full,1,37005-pro-full,37005-diverse_full-pro-1,85,79
37005,0,diverse_full,sonnet,full,2,37005-sonnet-full,37005-diverse_full-sonnet-2,78,80
37005,0,diverse_info,gpt5,info2,2,37005-gpt5-info2,37005-diverse_info-gpt5-2,2,2
37005,0,diverse_info,pro,info1,1,37005-pro-info1,37005-diverse_info-pro-1,80,33
37005,0,diverse_info,sonnet,info3,3,37005-sonnet-info3,37005-diverse_info-sonnet-3,12,18
37005,0,diverse_none,gpt5,none,3,37005-gpt5-none,37005-diverse_none-gpt5-3,2,2
37005,0,diverse_none,pro,none,1,37005-pro-none,37005-diverse_none-pro-1,8,3
37005,0,diverse_none,sonnet,none,2,37005-sonnet-none,37005-diverse_none-sonnet-2,12,6
37005,0,homo_full,gpt5,full,1,37005-gpt5-full-1,37005-homo_full-gpt5-1,78,15
37005,0,homo_full,gpt5,full,2,37005-gpt5-full-2,37005-homo_full-gpt5-2,17,12
37005,0,homo_full,gpt5,full,3,37005-gpt5-full-3,37005-homo_full-gpt5-3,6,12
37005,0,homo_info,gpt5,info1,1,37005-gpt5-info1-1,37005-homo_info-gpt5-1,12,4
37005,0,homo_info,gpt5,info2,2,37005-gpt5-info2-2,37005-homo_info-gpt5-2,2,3
37005,0,homo_info,gpt5,info3,3,37005-gpt5-info3-3,37005-homo_info-gpt5-3,3,2
37005,0,homo_none,gpt5,none,1,37005-gpt5-none-1,37005-homo_none-gpt5-1,3,2
37005,0,homo_none,gpt5,none,2,37005-gpt5-none-2,37005-homo_none-gpt5-2,2,2
37005,0,homo_none,gpt5,none,3,37005-gpt5-none-3,37005-homo_none-gpt5-3,2,2
37006,1,diverse_full,gpt5,full,3,37006-gpt5-full,37006-diverse_full-gpt5-3,75,80
37006,1,diverse_full,pro,full,1,37006-pro-full,37006-diverse_full-pro-1,85,80
37006,1,diverse_full,sonnet,full,2,37006-sonnet-full,37006-diverse_full-sonnet-2,78,82
37006,1,diverse_info,gpt5,info1,1,37006-gpt5-info1,37006-diverse_info-gpt5-1,65,77
37006,1,diverse_info,pro,info3,2,37006-pro-info3,37006-diverse_info-pro-2,85,80
37006,1,diverse_info,sonnet,info2,3,37006-sonnet-info2,37006-diverse_info-sonnet-3,78,82
37006,1,diverse_none,gpt5,none,3,37006-gpt5-none,37006-diverse_none-gpt5-3,65,70
37006,1,diverse_none,pro,none,1,37006-pro-none,37006-diverse_none-pro-1,85,78
37006,1,diverse_none,sonnet,none,2,37006-sonnet-none,37006-diverse_none-sonnet-2,82,76
37006,1,homo_full,sonnet,full,1,37006-sonnet-full-1,37006-homo_full-sonnet-1,82,82
37006,1,homo_full,sonnet,full,2,37006-sonnet-full-2,37006-homo_full-sonnet-2,78,80
37006,1,homo_full,sonnet,full,3,37006-sonnet-full-3,37006-homo_full-sonnet-3,82,82
