question_id,resolution,title
37003,1,Will the Social Democratic Party of Austria win the most seats in the 2025 Viennese state election?
37004,0,Will the Conservative Party win the popular vote in the 2025 Canadian federal election?
37005,0,Will the Liberal Party win 172 or more seats in the 2025 Canadian federal election?
37006,1,Will Bloc Québécois win more seats in Quebec than the Conservative Party?
37007,0,Will the People's National Movement win the most seats in the 2025 Trinidad and Tobago election?
37008,0,"Will a state of emergency be in effect in Samoa on April 30, 2025?"
37009,1,"Will Haley Stevens announce her candidacy for US Senator from Michigan before May 1, 2025?"
37011,1,Will Reform UK win the most seats in the 2025 Derbyshire County Council election?
37012,0,Will the Conservative Party win the most seats in the 2025 West Northamptonshire Council election?
37013,0,Will the Liberal Democrats win the most seats in the 2025 Cornwall Council election?
37014,1,Will Reform UK win the most seats in the 2025 Kent County Council election?
37015,1,"Will Han Duck-soo announce his candidacy for South Korean president before May 5, 2025?"
37018,0,Will Kelsea Ballerini win an award at the 60th Academy of Country Music Awards?
37019,1,Will Chris Stapleton win an award at the 60th Academy of Country Music Awards?
37020,0,Will Post Malone win an award at the 60th Academy of Country Music Awards?
37021,1,Will Ukraine's inflation rate increase to at least 15.0% for April 2025?
37022,0,Will Ukraine's government debt be at least 1.90 trillion UAH in March 2025?
37023,0,Will the May 2025 University of Michigan Consumer Sentiment number be greater than it was for April 2025?
37033,0,"Will the Zimbabwe, before June 1, 2025, make another payment to white farmers whose property was seized?"
37034,1,"Will the number of active US drilling rigs be less than 583 for the week ending May 30, 2025?"
37035,0,"Will the CDC raise the Travel Health Notice status of Colombia to above level 3 before June 1, 2025?"
37036,0,"Will Dan Osborn announce his candidacy for US Senator from Nebraska before June 1, 2025?"
37037,1,"Will the US government's harmonized tarifff schedule list the tariff on Lesotho as 50% on June 1, 2025?"
37038,1,"Will the US government's harmonized tarifff schedule list the tariff on Israel as 17% on June 1, 2025?"
37039,1,"Will the US government's harmonized tariff schedule list the tariff on Switzerland as 31% on June 1, 2025?"
37041,0,"Will any North American country be listed as having a CDC yellow fever travel advisory on June 1, 2025?"
37050,0,"Will any of these companies get dropped from the Dow Jones Industrial Average before July 1, 2025?"
37051,0,"Will Harvard University lose its tax exempt status before July 1, 2025?"
37052,0,"Will there be a successful coup in Africa or Latin America before July 1, 2025?"
37218,0,Will Donald Trump attend UFC 315?
37221,0,Will the Euro Area Inflation Rate be above 2.2% for April 2025?
37225,1,Will the Progressive Reform Party win the most seats in the 2025 Surinamese general election?
37230,1,Will the S&P 500 index go up in May 2025?
37231,1,Will Mexico's unemployment rate be under 3% in April 2025?
37232,1,Will Virgin Galactic fail to make any new posts on its News page in May 2025?
37233,0,"Will Alassane Ouattara declare his candidacy for president of Ivory Coast (Côte d’Ivoire) before June 1, 2025?"
37236,1,Will the US Census Bureau report an increase in US exports in April 2025 compared with April 2024?
37237,1,Will the US Census Bureau report an increase in US imports in April 2025 compared with April 2024?
37238,1,Will Donald Trump attend UFC 316?
37242,0,Will inbound airline passenger arrivals to the Canary Islands fall in April 2025 compared with April 2024?
37249,1,"Before July 1, 2025, will Reform UK be the highest polling party in the UK by at least 4 points, according to Politico?"
37250,1,"Will Kilmar Abrego Garcia return to the United States before July 1, 2025?"
37251,0,Will Vietnam and South Korea announce an agreement for South Korea to export self-propelled howitzers to Vietnam?
37252,0,"Will the Global Protest Tracker report any protests in South Korea with 10,000+ participants, before July 1, 2025?"
37253,0,"Will North Korea test a nuclear weapon before July 1, 2025?"
37254,0,"Before July 1, 2025, will the United States accuse Russia of invading any country other than Ukraine?"
37255,0,"Will Libya ratify AfCFTA (the pan-African free trade agreement) before July 1, 2025?"
37256,0,"Will South Sudan ratify AfCFTA (the pan-African free trade agreement) before July 1, 2025?"
37257,0,"Before July 1, 2025, will the government of Republika Srpska officially announce a date for an independence referendum?"
37258,0,"Before July 1, 2025, will the government of Scotland officially announce a date for an independence referendum?"
37259,0,"Before July 1, 2025, will the government of Greenland officially announce a date for an independence referendum?"
37260,0,"Will Germany ban the AfD before July 1, 2025?"
37261,0,"Will the Global Protest Tracker report any protests in the United States with 10,000+ participants, before July 1, 2025?"
37262,0,"Will the Global Protest Tracker report any protests in India with 10,000+ participants, before July 1, 2025?"
37263,0,"Will Uber be available in the Turks and Caicos Islands on July 1, 2025?"
37264,0,"Will Niger receive a ""Level 4 – Do Not Travel"" travel advisory from the US State Department before July 1, 2025?"
37265,0,"Will Tanzania receive a ""Level 3 – Reconsider Travel"" travel advisory from the US State Department before July 1, 2025?"
37266,0,"Will Mozambique receive a ""Level 4 – Do Not Travel"" travel advisory from the US State Department before July 1, 2025?"
37267,0,"Will Ethiopia receive a ""Level 4 – Do Not Travel"" travel advisory from the US State Department before July 1, 2025?"
37268,0,"Before July 1, 2025, will Muqtada al-Sadr's Alliance Towards Reforms party announce that it will participate in the 2025 Iraqi parliamentary election?"
37430,1,"Will Nigeria enact legislation exempting real estate transactions from VAT before July 1, 2025?"
37431,0,"Will the USDA-posted recall by ACC Central Kitchen LLC of pork bun products issued April 24, 2025 be closed before July 1, 2025?"
37432,0,"Before July 1, 2025, will Ohio enact legislation expanding its verification requirements of a voter's citizenship?"
37434,0,"Will AquaBounty Technologies file for bankruptcy before July 1, 2025?"
37435,0,"Will Chegg file for bankruptcy before July 1, 2025?"
37436,1,"Will 300 or more UN staff be reported to be killed in Gaza according to UN's OCHA in its final impact snapshot before July 1, 2025?"
37437,0,"Will the United States accuse the People's Republic of China of invading Taiwan before July 1, 2025?"
37438,0,"Will ChargePoint file for bankruptcy before July 1, 2025?"
37439,1,"Will Donald Trump and Vladimir Putin speak on the phone with each other before June 15, 2025?"
37440,0,"Before July 1, 2025, will Florida enact legislation expanding its verification requirements of a voter's citizenship?"
37441,0,"Will the USD be worth under 0.80 EUR before July 1, 2025?"
37442,1,Will Berkshire Hathaway reveal a purchase of more Domino's Pizza stock in its Q1 2025 13F filing?
37444,0,"Will the US lift its sanctions on Nord Stream 2 before July 1, 2025?"
37449,0,"Will the United States accuse the People's Republic of China of blockading Taiwan before July 1, 2025?"
37453,0,"Before July 1, 2025, will the government of Alberta officially announce a date for an independence referendum?"
37455,1,"Will Starlink's website show Lesotho as a country with Starlink availability before July 1, 2025?"
37456,1,"Will the USDA-posted recall by Cargill Kitchen Solutions of its liquid egg product for an unapproved substance issued March 28, 2025 be closed before July 1, 2025?"
37458,1,"Will Donald Trump and Xi Jinping speak on the phone with each other before June 15, 2025?"
37459,0,Will Berkshire Hathaway reveal a purchase of any Magnificent 7 stock other than Amazon and Apple in its Q1 2025 13F filing?
37460,0,"Will the Global Protest Tracker report any protests in Turkey (Türkiye) with 10,000+ participants, before July 1, 2025?"
37463,0,Will Berkshire Hathaway reveal a purchase of more Amazon stock in its Q1 2025 13F filing?
37464,1,"Will the USDA-posted recall by LPK1 of its ready-to-eat chicken caesar wrap for misbranding and an undeclared allergen issued February 24, 2025 be closed before June 1, 2025?"
37466,0,"Will WorldAtlas.com display the body of water northwest of the Caribbean Sea as the Gulf of America before July 1, 2025?"
